year,parent_entity,parent_type,commodity,production_value,production_unit,total_emissions_MtCO2e
1973,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,117.71249999999998,Million bbl/yr,46.94114318590463
1973,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,97.3236,Bcf/yr,7.093955195419937
1974,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,302.1105,Million bbl/yr,120.47498981387058
1974,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,97.3236,Bcf/yr,7.093955195419937
1975,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,300.6213,Million bbl/yr,119.88112976984425
1975,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,85.89545,Bcf/yr,6.260952880806234
1976,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,347.3997,Million bbl/yr,138.53532174102418
1976,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,97.76597999999997,Bcf/yr,7.126200446308207
1977,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,361.72229999999996,Million bbl/yr,144.24685804680678
1977,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,145.124,Bcf/yr,10.578145010872213
1978,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,316.7397,Million bbl/yr,126.3087914228351
1978,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,190.96800000000005,Bcf/yr,13.919732066620579
1979,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,322.9155,Million bbl/yr,128.77156395835604
1979,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,202.04939999999996,Bcf/yr,14.72745963837631
1980,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,294.18269999999995,Million bbl/yr,117.31355840302452
1980,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,254.2225,Bcf/yr,18.530377263763825
1981,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,248.127,Million bbl/yr,98.94756321791618
1981,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,312.732,Bcf/yr,22.79515755864012
1982,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,199.72799999999998,Million bbl/yr,79.64711178706051
1982,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,329.29935,Bcf/yr,24.00275816740141
1983,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,185.712,Million bbl/yr,74.05784078445976
1983,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,310.95079999999996,Bcf/yr,22.6653251953276
1984,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,179.58,Million bbl/yr,71.61253472082194
1984,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,355.2764,Bcf/yr,25.896235482350548
1985,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,173.886,Million bbl/yr,69.34189337601539
1985,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,385.586,Bcf/yr,28.105514058061893
1986,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,284.643,Million bbl/yr,113.50933690020557
1986,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,397.3098,Bcf/yr,28.960066416586066
1987,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,395.4,Million bbl/yr,157.67678042439582
1987,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,408.6978,Bcf/yr,29.790142182026738
1988,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,378.6,Million bbl/yr,150.97731175689492
1988,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,419.75,Bcf/yr,30.595741354383918
1989,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,536.6,Million bbl/yr,213.9842194631532
1989,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,461.506,Bcf/yr,33.63935249433307
1990,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,595.7,Million bbl/yr,237.55199316846884
1990,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,487.8882,Bcf/yr,35.562361350937294
1991,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,722.7,Million bbl/yr,288.1967860716005
1991,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,554.65254,Bcf/yr,40.428840155788166
1992,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,672.3,Million bbl/yr,268.09838006909786
1992,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,586.6791,Bcf/yr,42.763268616135164
1993,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,654.1,Million bbl/yr,260.8406223459719
1993,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,599.17451,Bcf/yr,43.67406392876645
1994,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,678.2,Million bbl/yr,270.4511696606607
1994,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,696.5514,Bcf/yr,50.77190345308877
1995,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,683.6,Million bbl/yr,272.604570303786
1995,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,621.3687,Bcf/yr,45.29180710163139
1996,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,673.8,Million bbl/yr,268.6965469144104
1996,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,666.9343695,Bcf/yr,48.613106538585136
1997,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,708.1,Million bbl/yr,282.37462877722476
1997,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,712.6814205,Bcf/yr,51.94762694387831
1998,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,748.3,Million bbl/yr,298.40550023160193
1998,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,861.67363975,Bcf/yr,62.80772796588823
1999,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,673.4,Million bbl/yr,268.53703575566044
1999,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1023.4286999999998,Bcf/yr,74.59811745051428
2000,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,695.4,Million bbl/yr,277.31014948691154
2000,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1031.83367,Bcf/yr,75.21075899479385
2001,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,669.8,Million bbl/yr,267.10143532691023
2001,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1081.027465,Bcf/yr,78.79651391572438
2002,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,616.9,Million bbl/yr,246.00608458221996
2002,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1190.53928,Bcf/yr,86.77887286030838
2003,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,675.3,Million bbl/yr,269.294713759723
2003,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1228.856055,Bcf/yr,89.57179754746532
2004,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,713.6,Million bbl/yr,284.5679072100375
2004,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1269.6448799999998,Bcf/yr,92.54491092411628
2005,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,839.5,Million bbl/yr,334.77404442660657
2005,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1279.53308,Bcf/yr,93.26566568209225
2006,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,894.3,Million bbl/yr,356.6270731753595
2006,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1341.33433,Bcf/yr,97.77038291944214
2007,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,846.8,Million bbl/yr,337.6851230737945
2007,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1396.21384,Bcf/yr,101.77057182620884
2008,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,888.8,Million bbl/yr,354.4337947425467
2008,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1382.86477,Bcf/yr,100.79755290294128
2009,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,779.3,Million bbl/yr,310.76761503472846
2009,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1305.217683,Bcf/yr,95.13782642105124
2010,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,789.1,Million bbl/yr,314.675638424104
2010,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1394.2362,Bcf/yr,101.62642087461366
2011,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,913.191,Million bbl/yr,364.1603864252262
2011,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1618.077754,Bcf/yr,117.94231912487538
2012,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,948.2,Million bbl/yr,378.12120181692495
2012,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1959.136813,Bcf/yr,142.80224707182848
2013,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,996.928,Million bbl/yr,397.5528511758524
2013,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1934.149146,Bcf/yr,140.98088626996673
2014,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1002.179,Million bbl/yr,399.6468339123433
2014,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1964.320589,Bcf/yr,143.18009452801684
2015,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1068.575,Million bbl/yr,426.1240911532593
2015,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1918.427996,Bcf/yr,139.8349655095296
2016,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1095,Million bbl/yr,436.6617970781826
2016,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1965.869177,Bcf/yr,143.29297171184652
2017,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1186.25,Million bbl/yr,473.0502801680311
2017,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2129.691609,Bcf/yr,155.23405273035308
2018,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1277.5,Million bbl/yr,509.43876325787966
2018,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2510.134941,Bcf/yr,182.9647157103936
2019,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1350.5,Million bbl/yr,538.5495497297585
2019,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2612.589429,Bcf/yr,190.43266333503647
2020,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1277.5,Million bbl/yr,509.43876325787966
2020,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2689.430294,Bcf/yr,196.0336239806282
2021,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1277.5,Million bbl/yr,509.43876325787966
2021,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2689.430294,Bcf/yr,196.0336239806282
2022,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1277.5,Million bbl/yr,509.43876325787966
2022,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2689.430294,Bcf/yr,196.0336239806282
2012,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,4,Million tonnes/yr,8.07636177449011
2013,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,4.09,Million tonnes/yr,8.258079914416136
2014,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,7.92,Million tonnes/yr,15.99119631349042
2015,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,10.36,Million tonnes/yr,20.917776995929383
2016,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,11.45,Million tonnes/yr,23.11858557947794
2017,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,11.15,Million tonnes/yr,22.51285844639118
2018,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,16.9,Million tonnes/yr,34.12262849722071
2019,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,13.261,Million tonnes/yr,26.775158372878334
2020,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,15.72,Million tonnes/yr,31.74010177374613
2021,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,26.78,Million tonnes/yr,54.07124208021129
2022,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,34.9,Million tonnes/yr,70.4662564824262
1992,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,1,Million tonnes/yr,2.0190904436225274
1993,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,1.4,Million tonnes/yr,2.8267266210715385
1994,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,2.4,Million tonnes/yr,4.8458170646940655
1995,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,5.5,Million tonnes/yr,11.1049974399239
1996,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,8.6,Million tonnes/yr,17.364177815153734
1997,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,9.4,Million tonnes/yr,18.97945017005176
1998,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,10.9,Million tonnes/yr,22.00808583548555
1999,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,13.6,Million tonnes/yr,27.45963003326637
2000,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,15.5,Million tonnes/yr,31.29590187614917
2001,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,17.7,Million tonnes/yr,35.737900852118734
2002,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,20.8,Million tonnes/yr,41.997081227348566
2003,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,22.5,Million tonnes/yr,45.42953498150687
2004,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,24.3,Million tonnes/yr,49.06389778002742
2005,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,26.7,Million tonnes/yr,53.909714844721485
2006,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,34.4,Million tonnes/yr,69.45671126061494
2007,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,36.1,Million tonnes/yr,72.88916501477324
2008,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,38.5,Million tonnes/yr,77.73498207946731
2009,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,40.6,Million tonnes/yr,81.97507201107463
2010,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,42.2,Million tonnes/yr,85.20561672087067
2011,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,47.7,Million tonnes/yr,96.31061416079457
2012,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,47.2,Million tonnes/yr,95.30106893898329
2013,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,52.3,Million tonnes/yr,105.59843020145817
2014,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,56.2,Million tonnes/yr,113.47288293158607
2015,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,51.5,Million tonnes/yr,103.98315784656018
2016,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,52.38,Million tonnes/yr,105.759957436948
2016,Adaro Energy,Investor-owned Company,Metallurgical Coal,0.22,Million tonnes/yr,0.6526557566863621
2017,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,50.9,Million tonnes/yr,102.77170358038664
2017,Adaro Energy,Investor-owned Company,Metallurgical Coal,0.9,Million tonnes/yr,2.66995536826239
2018,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,48.23,Million tonnes/yr,97.38073209591448
2018,Adaro Energy,Investor-owned Company,Metallurgical Coal,5.77,Million tonnes/yr,17.11738052763777
2019,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,52.8073,Million tonnes/yr,106.62271478350789
2019,Adaro Energy,Investor-owned Company,Metallurgical Coal,5.2227,Million tonnes/yr,15.493751002026652
2020,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,49.6223,Million tonnes/yr,100.19191172057015
2020,Adaro Energy,Investor-owned Company,Metallurgical Coal,4.9077,Million tonnes/yr,14.559266623134816
2021,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,49.8542,Million tonnes/yr,100.66013879444621
2021,Adaro Energy,Investor-owned Company,Metallurgical Coal,2.8458,Million tonnes/yr,8.442398874445681
2022,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,59.51,Million tonnes/yr,120.15607229997661
2022,Adaro Energy,Investor-owned Company,Metallurgical Coal,3.37,Million tonnes/yr,9.997499545604729
1996,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,8.164746441,Million tonnes/yr,22.160256954928027
1997,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,9.8884151341,Million tonnes/yr,26.83853342319061
1998,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,12.1564002566,Million tonnes/yr,32.994160355115056
1999,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,12.7914360909,Million tonnes/yr,34.71773589605391
2000,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,12.428558471299999,Million tonnes/yr,33.732835586945995
2001,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,14.242946569299999,Million tonnes/yr,38.65733713248555
2002,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,16.329492882,Million tonnes/yr,44.320513909856054
2003,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,17.4181257408,Million tonnes/yr,47.27521483717979
2004,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,18.485893136473,Million tonnes/yr,50.173283996729815
2005,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,20.7747437221,Million tonnes/yr,56.385542696427976
2006,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,21.5004989613,Million tonnes/yr,58.35534331464381
2007,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,22.044815390700002,Million tonnes/yr,59.832693778305675
2008,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,23.976231521021,Million tonnes/yr,65.07482567353253
2009,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,23.440079838062,Million tonnes/yr,63.6196354668256
2010,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,26.18162025414,Million tonnes/yr,71.06055730213589
2011,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,27.898938588897,Million tonnes/yr,75.72159801498907
2012,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,31.570352905199993,Million tonnes/yr,85.68632689238837
2013,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,35.182799608318,Million tonnes/yr,95.49100946955764
2014,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,36.967250302701004,Million tonnes/yr,100.3342567395958
2015,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,37.356436549722,Million tonnes/yr,101.39056232111403
2016,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,31.973147062956,Million tonnes/yr,86.77956623549815
2017,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,34.118660988841,Million tonnes/yr,92.6027893130987
2018,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,36.529075577034,Million tonnes/yr,99.14498961634798
2019,Alliance Resource Partners,Investor-owned Company,Oil & NGL,1.105,Million bbl/yr,0.4406495760469331
2019,Alliance Resource Partners,Investor-owned Company,Natural Gas,3.664,Bcf/yr,0.26707039028579554
2019,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,36.270525273069005,Million tonnes/yr,98.44324814610863
2020,Alliance Resource Partners,Investor-owned Company,Oil & NGL,1.2850000000000001,Million bbl/yr,0.5124295974844426
2020,Alliance Resource Partners,Investor-owned Company,Natural Gas,3.635,Bcf/yr,0.26495656896530206
2020,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,24.48516738251,Million tonnes/yr,66.45614835705638
2021,Alliance Resource Partners,Investor-owned Company,Oil & NGL,1.1820000000000002,Million bbl/yr,0.4713554741063122
2021,Alliance Resource Partners,Investor-owned Company,Natural Gas,3.49,Bcf/yr,0.2543874623628347
2021,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,29.217998736143002,Million tonnes/yr,79.30171063859635
2022,Alliance Resource Partners,Investor-owned Company,Oil & NGL,1.513,Million bbl/yr,0.6033509579719546
2022,Alliance Resource Partners,Investor-owned Company,Natural Gas,4.838,Bcf/yr,0.35264370857060007
2022,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,32.184523276373,Million tonnes/yr,87.35327066555351
1981,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,9.268656529232624,Million tonnes/yr,25.156422406867776
1981,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,3.440288677135632,Million tonnes/yr,10.206019135433998
1982,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,12.26243258901845,Million tonnes/yr,33.28194684657596
1982,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,4.551501919683518,Million tonnes/yr,13.502563315683982
1983,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,12.053361220018163,Million tonnes/yr,32.714498084701425
1983,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,4.4738999655710305,Million tonnes/yr,13.272348033494776
1984,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,15.575155142567123,Million tonnes/yr,42.27313641229047
1984,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,5.7810999613131004,Million tonnes/yr,17.15030986241046
1985,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,16.148116550654155,Million tonnes/yr,43.828233330512816
1985,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,5.993768606010427,Million tonnes/yr,17.781216295266805
1986,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,15.368730249118515,Million tonnes/yr,41.71287055299276
1986,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,5.7044803114737075,Million tonnes/yr,16.923008700851486
1987,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,11.737107695502017,Million tonnes/yr,31.856142051624044
1987,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,4.356514731943595,Million tonnes/yr,12.924110994963325
1988,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,11.247510190181515,Million tonnes/yr,30.527306355280576
1988,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,4.174788638282516,Million tonnes/yr,12.384999262381376
1989,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,11.181348373964955,Million tonnes/yr,30.347733987839842
1989,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,4.150231058671015,Million tonnes/yr,12.312146327364424
1990,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,12.37226121101405,Million tonnes/yr,33.58003699573313
1990,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,4.592267502564365,Million tonnes/yr,13.623499189965164
1991,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,11.181348373964955,Million tonnes/yr,30.347733987839842
1991,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,4.150231058671015,Million tonnes/yr,12.312146327364424
1992,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,11.909128443066502,Million tonnes/yr,32.32303027591297
1992,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,4.420364440747886,Million tonnes/yr,13.113528631389999
1993,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,14.55560142739063,Million tonnes/yr,39.50592588457501
1993,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,5.402667649702173,Million tonnes/yr,16.02764610473319
1994,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,16.77202255641146,Million tonnes/yr,45.521600969448514
1994,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,6.2253465875529255,Million tonnes/yr,18.46821948970099
1995,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,18.98844368543229,Million tonnes/yr,51.537276054322
1995,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,7.048025525403678,Million tonnes/yr,20.908792874668784
1996,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,21.105622067448433,Million tonnes/yr,57.28359252647814
1996,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,7.833868092929985,Million tonnes/yr,23.240086854419854
1997,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,22.857587186209898,Million tonnes/yr,62.0386694279318
1997,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,8.484152816827713,Million tonnes/yr,25.169232620497368
1998,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,17.8717227653,Million tonnes/yr,48.50634022356468
1998,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,16.5109316918,Million tonnes/yr,48.98161189503893
1999,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,64.2218637621858,Million tonnes/yr,174.3070667752557
1999,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,24.6831530398142,Million tonnes/yr,73.22546329366008
2000,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,70.05220060457623,Million tonnes/yr,190.1314115353523
2000,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,24.658858111023765,Million tonnes/yr,73.15338954305388
